id,type,subject_entity_id,predicate,object_entity_id,valid_start_time,valid_end_time,confidence,description,properties
0,relation,0,marks_start_of,1,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
1,relation,1,is_for,4,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
2,relation,2,guides_through,3,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
3,relation,5,developed_from,4,2025-11-15 18:00:00,2025-12-31 23:59:59,0.9,,{}
4,relation,6,uses,7,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
5,relation,1,collaborates_with,8,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
6,relation,4,uses,9,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
7,relation,4,uses,10,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
8,relation,4,plans_to_present_to,8,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
9,relation,4,plans_to_use,12,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
10,relation,4,based_on,13,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
11,relation,4,plans_to_work_on,14,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
12,relation,4,plans_to_work_on,15,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
13,relation,4,waits_for,16,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
14,relation,4,plans_to_work_on,17,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
15,relation,4,plans_to_work_on,18,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
16,relation,4,follows,19,2025-11-15 18:00:00,2025-12-31 23:59:59,1.0,,{}
