id,type,subject_entity_id,predicate,object_entity_id,confidence,description,properties
0,relation,0,represents_time_period,1,1.0,,{}
1,relation,2,related_to,4,1.0,,{}
2,relation,4,has_scope,5,1.0,,{}
3,relation,4,has_research_questions,6,1.0,,{}
4,relation,4,has_visualization,7,1.0,,{}
5,relation,9,developing,8,0.9,,{}
6,relation,4,has_simulation,10,1.0,,{}
7,relation,10,related_to,11,1.0,,{}
8,relation,10,related_to,12,1.0,,{}
9,relation,10,uses_algorithm,13,1.0,,{}
10,relation,4,interacts_with,14,1.0,,{}
11,relation,4,uses_template,15,1.0,,{}
12,relation,4,uses_template,16,1.0,,{}
13,relation,17,involves,14,1.0,,{}
14,relation,14,requires_data,18,1.0,,{}
15,relation,19,has_duration,20,1.0,,{}
16,relation,17,has_duration,21,1.0,,{}
17,relation,4,has_project_proposal,22,1.0,,{}
18,relation,4,has_tasks,23,1.0,,{}
19,relation,4,requires_data_modelling,24,1.0,,{}
20,relation,4,has_frontend,25,1.0,,{}
21,relation,4,has_project_timeline,26,1.0,,{}
