idx,name,category,type,valid_start_time,valid_end_time,confidence,description,properties
0,R programming language,Artifact,Tool,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,"{'original_name': 'R programming language', 'noun_chunks': ['R programming language']}"
1,Shiny library,Artifact,Tool,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,{}
2,Carolina,Person,User,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,{}
3,simulation round data,Artifact,Data,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,"{'original_name': 'simulation round data', 'noun_chunks': ['simulation round data']}"
4,3 km point grid,Concept,Domain_Concept,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,"{'original_name': '3 km point grid', 'noun_chunks': ['3 km point grid']}"
5,9 km grids,Concept,Domain_Concept,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,"{'original_name': '6 km and 9 km grids', 'noun_chunks': ['6 km', '9 km grids']}"
6,heatmap,Artifact,Visualization,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,{}
7,RMSE measures,Concept,Technical_Concept,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,"{'original_name': 'average error and RMSE measures', 'noun_chunks': ['average error', 'RMSE measures']}"
8,ROC curve,Artifact,Visualization,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,{}
9,Probability,Concept,Technical_Concept,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,"{'original_name': 'POD (Probability of Detection)', 'noun_chunks': ['POD', 'Probability', 'Detection']}"
10,FAR (False Alarm Ratio,Concept,Technical_Concept,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,"{'original_name': 'FAR (False Alarm Ratio)', 'noun_chunks': ['FAR (False Alarm Ratio']}"
11,simulation rounds,Concept,Technical_Concept,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,{}
12,dashboard prototype,Artifact,Prototype,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,{}
13,email,Event,Email,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,{}
14,formulas,Artifact,Algorithm,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,{}
15,rainfall,Artifact,Data,2025-10-19 18:00:00,2099-12-31 23:59:59,1.0,,{}
