idx,name,category,type,valid_start_time,valid_end_time,confidence,description,properties
0,collect usability feedback,Concept,Task,2025-11-16 18:00:00,2099-12-31 23:59:59,0.95,,{}
1,dashboard,Artifact,Software,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
2,Vamsi,Person,Technical_Advisor,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
3,Discord,Artifact,Tool,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
4,email feedback,Event,Email,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
5,Carolina,Person,User,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
6,test the dashboard,Event,Testing,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
7,mm per hour,Concept,Technical_Concept,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
8,final step,Concept,Technical_Concept,2025-11-16 18:00:00,2099-12-31 23:59:59,0.8,,{}
9,timestamps,Concept,Technical_Concept,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
10,ROC tab charts,Artifact,Visualization,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
11,Portuguese to English,Concept,Technical_Concept,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
12,dotted line,Artifact,Visualization,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
13,reference line,Concept,Technical_Concept,2025-11-16 18:00:00,2099-12-31 23:59:59,0.7,,{}
14,rainfall limit filter,Concept,Technical_Concept,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
15,Daniel,Person,Technical_Advisor,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
16,Marcos,Person,Technical_Advisor,2025-11-16 18:00:00,2099-12-31 23:59:59,0.9,,{}
